제품명,스타일,도수,국가/지역,제조사,공급사
옥수수막걸리,탁주 막걸리,6.0%,대한민국,㈜배혜정 농업회사법인,에스엠트레이드
가평잣막걸리,탁주 막걸리,6.0%,대한민국,우리술,에스엠트레이드
국순당_생막걸리,탁주 막걸리,6.0%,대한민국,국순당,에스엠트레이드
국순당_쌀막걸리,탁주 막걸리,5.8%,대한민국,국순당,에스엠트레이드
밤동산_알밤_막걸리,탁주,6.0%,대한민국,농업회사법인 (합)사곡양조원,부국상사
톡쏘는_쌀막걸리,탁주 막걸리,6.0%,대한민국,우리술,에스엠트레이드
톡생막걸리,탁주 막걸리,5.0%,대한민국,우리술,에스엠트레이드
덕산_쌀막걸리_생,탁주,6.0%,대한민국,진천덕산양조(주),부국상사
가평잣생막걸리,탁주 막걸리,6.0%,대한민국,우리술,에스엠트레이드
선호생막걸리,탁주 막걸리,6.0%,대한민국,김포금쌀탁주,부국상사
유성별_막걸리,탁주,5.0%,대한민국,농업회사법인 아리랑주조(주),부국상사
세종_바나나주,탁주,6.0%,대한민국,조은술세종,부국상사
세종_옥수수주,탁주,6.0%,대한민국,조은술세종,부국상사
세종_알밤주,탁주,6.0%,대한민국,조은술세종,부국상사
제주_한라봉_막걸리,탁주,6.0%,대한민국,남원 지리산 허브 영농조합법인,부국상사
국순당_생막걸리_우국생,탁주 막걸리,6.0%,대한민국,국순당,에스엠트레이드
지장수_호박_생막걸리,탁주,6.0%,대한민국,낙천주조,부국상사
선호_생막걸리,탁주,6.0%,대한민국,김포금쌀탁주,부국상사
호랑이_생막걸리,탁주,6.0%,대한민국,배혜정도가,에스엠트레이드
우리쌀_배다리막걸리,탁주,7.0%,대한민국,고양탁주합동제조장,배다리도가
호땅,탁주 막걸리,6.0%,대한민국,배혜정도가,에스엠트레이드
메로니아,탁주 막걸리,4.0%,대한민국,배혜정도가,에스엠트레이드
1000억_프리바이오_막걸리,탁주 막걸리,5.0%,대한민국,국순당,에스엠트레이드
"그래,_그_날",탁주,5.5%,대한민국,이스트디자이너스,부국상사
국순당_쌀복숭아,탁주 막걸리,3.0%,대한민국,국순당,에스엠트레이드
국순당_쌀바나나,탁주 막걸리,4.0%,대한민국,국순당,에스엠트레이드
덕산_쌀막걸리,탁주,6.5%,대한민국,진천덕산양조(주),부국상사
부자_10,탁주,10.0%,대한민국,배혜정도가,에스엠트레이드
백련생막걸리_Snow,탁주,6.0%,대한민국,신평양조장,부국상사
느린마을_늘봄,탁주,6.0%,대한민국,배상면주가,부국상사
금정산성_막걸리,탁주,8.0%,대한민국,(유)금정산성토산주,부국상사
문경_오미자_막걸리,탁주,6.5%,대한민국,문경주조,부국상사
우도_땅콩_전통주,탁주,6.0%,대한민국,조은술세종,부국상사
자색_고구마_막걸리,탁주,8.0%,대한민국,배혜정도가,에스엠트레이드
옛날_막걸리,탁주 막걸리,7.8%,대한민국,국순당,에스엠트레이드
1000억_유산균_막걸리,탁주 막걸리,5.0%,대한민국,국순당,에스엠트레이드
표문막걸리,탁주 막걸리,6.0%,대한민국,한강주조,에스엠트레이드
소풍막걸리,탁주 막걸리,5.5%,대한민국,몬스터빌리지,에스엠트레이드
매화_마름_호랑이_막걸리,탁주,7.0%,대한민국,배혜정도가,에스엠트레이드
술공방_9.0,탁주,9.0%,대한민국,농업회사법인 아리랑주조(주),부국상사
가와지탁주_8,탁주 막걸리,8.0%,대한민국,배다리도가,배다리도가
우렁이쌀_손_막걸리,탁주,7.5%,대한민국,(유)양촌양조,부국상사
우렁이쌀_손_막걸리_드라이,탁주,7.5%,대한민국,(유)양촌양조,부국상사
JMT_막걸리,탁주 막걸리,9.7%,대한민국,고성양조장,고성양조장
백화미인,탁주,18.0%,대한민국,(주)초가,부국상사
설하담,탁주,9.0%,대한민국,리큐랩,부국상사
부자_13,탁주,13.0%,대한민국,배혜정도가,부국상사
송명섭_막걸리,탁주,6.0%,대한민국,태인양조,부국상사
우곡생주,탁주,10.0%,대한민국,배혜정도가,에스엠트레이드
가와지탁주_10,탁주 막걸리,10.0%,대한민국,배다리도가,배다리도가
가야막걸리,탁주 막걸리,6.0%,대한민국,가야양조장,에스엠트레이드
나루생막걸리,탁주 막걸리,6.0%,대한민국,한강주조,에스엠트레이드
아임프리,탁주,7.0%,대한민국,농업회사법인 (주)술샘,부국상사
송도막걸리,탁주 막걸리,6.0%,대한민국,농업회사법인 송도향 유한회사,에스엠트레이드
설레막걸리,탁주 막걸리,7.0%,대한민국,몬스터빌리지,에스엠트레이드
별산_막걸리,탁주,6.5%,대한민국,양주도가,에스엠트레이드
까망토끼,탁주,9.0%,대한민국,농업회사법인 (주)술샘,부국상사
구절초꽃술_8도,탁주,8.0%,대한민국,농업회사법인한통술이노베이션주식회사,농업회사법인한통술이노베이션주식회사
연꽃담은술_8도,탁주,8.0%,대한민국,농업회사법인한통술이노베이션주식회사,농업회사법인한통술이노베이션주식회사
술아_막걸리,탁주,8.0%,대한민국,농업회사법인 (주)술아원,부국상사
붉은_원숭이,탁주,10.8%,대한민국,농업회사법인 (주)술샘,부국상사
술취한_원숭이,탁주,10.8%,대한민국,농업회사법인 (주)술샘,부국상사
복순도가_손막걸리,탁주,6.5%,대한민국,복순도가,복순도가
선산_베이직,탁주 막걸리,6.0%,대한민국,선산주조,농업회사법인 주식회사 선산
구절초꽃술_11도,탁주,11.0%,대한민국,농업회사법인한통술이노베이션주식회사,농업회사법인한통술이노베이션주식회사
연꽃담은술_11도,탁주,11.0%,대한민국,농업회사법인한통술이노베이션주식회사,농업회사법인한통술이노베이션주식회사
별산_오디스파클링,탁주,6.0%,대한민국,양주도가,에스엠트레이드
한탄강익스프레스,탁주 막걸리,12.0%,대한민국,농업회사법인(주)우창 두루미양조장,농업회사법인주식회사우창
대관람차,탁주 막걸리,12.0%,대한민국,농업회사법인(주)우창 두루미양조장,농업회사법인주식회사우창
삼양춘_탁주,탁주,12.5%,대한민국,송도향전통주조,에스엠트레이드
신선주_탁주10%,탁주 막걸리,10.0%,대한민국,농업회사법인 (주)신선,농업회사법인 주식회사 신선
미인탁주,탁주,10.0%,대한민국,최행숙전통주가,부국상사
사화정미소,탁주 막걸리,12.0%,대한민국,농업회사법인 우포의아침 주식회사,농업회사법인 우포의아침 주식회사
이상헌_탁주_14도,탁주,14.0%,대한민국,농업회사법인 이가수불,부국상사
해창_9도,탁주 막걸리,9.0%,대한민국,해창주조장㈜농업회사법인,에스엠트레이드
선산_베이직_추석_선물세트_2023,탁주,6.0%,대한민국,선산주조,농업회사법인 주식회사 선산
수제탁주_바랑,탁주,15.0%,대한민국,농업회사법인 주식회사 금계당,농업회사법인 주식회사 금계당
서울핑크막걸리,탁주 막걸리,7.5%,대한민국,서울양조장,에스엠트레이드
서울막걸리,탁주 막걸리,7.5%,대한민국,서울양조장,에스엠트레이드
우곡주,탁주,13.0%,대한민국,배혜정도가,에스엠트레이드
하드포션_막걸리,탁주 막걸리,14.3%,대한민국,팔팔양조장,부국상사
오희_스파클링_막걸리,탁주,8.5%,대한민국,문경주조,부국상사
복순도가_탁주,탁주,10.0%,대한민국,복순도가,복순도가
세종대왕_어주_탁주,탁주,13.0%,대한민국,장희도가,부국상사
해창_12도,탁주 막걸리,12.0%,대한민국,해창주조장㈜농업회사법인,에스엠트레이드
오마이_갓,탁주 막걸리,10.0%,대한민국,농업회사법인 송도향 유한회사,에스엠트레이드
선산_스위트,탁주 막걸리,8.0%,대한민국,선산주조,농업회사법인 주식회사 선산
이상헌_탁주_19도,탁주,19.0%,대한민국,농업회사법인 이가수불,부국상사
선산_스위트_추석_선물세트_2023,탁주,8.0%,대한민국,선산주조,농업회사법인 주식회사 선산
본,탁주 막걸리,17.0%,대한민국,농업회사법인(주)우창 두루미양조장,농업회사법인주식회사우창
선산_오리지널,탁주 막걸리,12.0%,대한민국,선산주조,농업회사법인 주식회사 선산
서울골드막걸리,탁주 막걸리,15.0%,대한민국,서울양조장,에스엠트레이드
경주법주_쌀막걸리,탁주,6.0%,대한민국,금복주,경주법주 주식회사
담은_막걸리,탁주,6.5%,대한민국,(주)1932포천일동막걸리,주식회사포천일동막걸리 농업회사법인
